location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220108T2000,4.9105287,-11.28,0.0,0.1,0.0,72.0,100.0,34.63492,226.6847
20220108T2100,4.8305287,-9.97,0.0,0.1,0.0,71.0,100.0,36.424103,222.99747
20220108T2200,4.9505286,-9.53,0.0,0.1,0.0,68.0,100.0,39.28456,221.28471
20220108T2300,5.2205286,-8.79,0.0,0.0,0.0,69.0,100.0,48.262825,220.46222
20220109T0000,5.7405286,-7.6,0.0,0.7,0.0,69.0,100.0,51.34892,220.16559
20220109T0100,5.6805286,-8.16,0.0,0.3,0.0,69.0,100.0,59.066338,224.01224
20220109T0200,6.4205284,-9.84,0.0,0.5,0.0,72.0,100.0,63.93219,242.13628
20220109T0300,5.5305285,-11.74,0.0,0.6,0.0,79.0,100.0,47.27528,253.63509
20220109T0400,4.0805287,-11.99,0.0,0.6,0.0,80.0,100.0,50.73957,254.78055
20220109T0500,2.2105286,-13.35,0.0,1.5,1.05,87.0,100.0,48.965294,270.84253
20220109T0600,3.3505285,-14.46,0.0,0.1,0.0,86.0,100.0,44.456722,275.1104
20220109T0700,3.1205285,-14.46,0.0,0.0,0.0,86.0,100.0,42.420467,276.82346
20220109T0800,2.9305286,-15.31,0.0,0.0,0.0,86.0,100.0,38.202427,272.70062
20220109T0900,2.5405285,-15.47,0.0,0.0,0.0,87.0,13.0,32.431984,267.4552
20220109T1000,2.9405286,-15.35,0.0,0.0,0.0,85.0,100.0,30.018473,264.4945
20220109T1100,3.8805285,-15.16,8.48485,0.0,0.0,82.0,85.0,29.539747,267.90475
20220109T1200,4.7805285,-15.09,30.90909,0.0,0.0,78.0,48.0,29.888672,268.61966
20220109T1300,4.9105287,-14.96,0.0,0.0,0.0,76.0,100.0,27.595823,277.49585
20220109T1400,5.0105286,-15.41,6.666666,0.0,0.0,72.0,88.0,21.746504,276.65442
20220109T1500,5.5805287,-15.32,0.0,0.1,0.0,69.0,100.0,20.633371,276.009
20220109T1600,5.290529,-15.18,0.0,0.0,0.0,71.0,100.0,19.083395,268.91907
20220109T1700,4.9605284,-15.0,0.0,0.0,0.0,74.0,100.0,16.394829,261.1582
20220109T1800,3.9205287,-14.61,0.0,0.1,0.0,83.0,100.0,13.009903,255.57922
20220109T1900,3.1305285,-14.52,0.0,0.6,0.0,87.0,100.0,8.557102,255.37914
20220109T2000,2.1405284,-14.91,0.0,0.7,0.48999998,90.0,100.0,9.793058,252.89728
20220109T2100,2.3505285,-14.96,0.0,0.5,0.35,91.0,100.0,7.289444,290.22485
20220109T2200,2.0305285,-14.66,0.0,0.5,0.35,92.0,100.0,8.311245,287.65012
20220109T2300,1.7205287,-14.97,0.0,0.2,0.14,93.0,100.0,10.24578,288.43494
20220110T0000,1.9405286,-15.36,0.0,0.1,0.07,93.0,100.0,10.182337,315.0
20220110T0100,1.8105286,-15.59,0.0,0.3,0.21000001,94.0,100.0,13.18308,325.008
20220110T0200,1.5605286,-16.38,0.0,0.4,0.28,93.0,100.0,12.599998,323.13013
